episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status
220,1.0,0.3228378734766211,2.6918632479737163,-83.96999778333695,20.0,3.5,5,51.0,False,True,0.6036274014379751,1,23.11822180235112,1610759393.9120655,in_progress
220,2.0,0.32402380742464276,2.684214836452597,-83.84670315482036,0.0,3.5,3,51.0,False,True,0.6370661161966217,1,23.11822180235112,1610759393.9750872,in_progress
220,3.0,0.32527566894600385,2.665320117483138,-83.96594081623486,0.0,3.5,3,51.0,False,True,0.7188780078096154,1,23.11822180235112,1610759394.043935,in_progress
220,4.0,0.32736951347763515,2.62492265635921,-84.5272167960953,20.0,1.75,4,31.0,False,True,0.8931518745956081,1,23.11822180235112,1610759394.115311,in_progress
220,5.0,0.3257713651110001,2.578298059838337,-86.02286596305578,20.0,3.5,5,51.0,False,True,1.0918404381076299,2,23.11822180235112,1610759394.1778765,in_progress
220,6.0,0.3276541108009884,2.5075730774708807,-86.80078046661643,20.0,3.5,5,51.0,False,True,1.3918367348480187,2,23.11822180235112,1610759394.2445009,in_progress
220,7.0,0.33276503539019814,2.4250544589943086,-86.71027585237542,0.0,3.5,3,51.0,False,True,1.7467067592803458,3,23.11822180235112,1610759394.3144195,in_progress
220,8.0,0.3429390791073389,2.330195206003187,-85.72670719902872,-20.0,3.5,1,51.0,False,True,2.151110705372173,3,23.11822180235112,1610759394.60875,in_progress
220,9.0,0.3283629380264327,1.718315932130677,-94.58240415468276,-20.0,3.5,1,51.0,False,True,4.55843176093738,7,23.11822180235112,1610759394.6497262,in_progress
220,10.0,0.3115491487455645,1.637956802889375,-97.04967609692558,20.0,3.5,5,31.0,False,True,4.7437643582801545,7,23.11822180235112,1610759394.7166333,in_progress
220,11.0,0.27240324609887473,1.4893588725342428,-101.65775483956727,-20.0,3.5,1,31.0,False,True,5.228467035891914,8,23.11822180235112,1610759394.7830644,in_progress
220,12.0,0.20395192636516973,1.2785022642349404,-107.95090609099532,-20.0,3.5,1,11.0,False,False,5.679138076249832,9,23.11822180235112,1610759394.8469696,in_progress
220,13.0,0.134853743296543,1.111159315401289,-113.88947814365754,-20.0,3.5,1,11.0,False,False,5.881873393346069,9,23.11822180235112,1610759394.916499,in_progress
220,14.0,0.022718496346899403,0.8890664476861154,-121.80606816835626,-20.0,3.5,1,11.0,True,False,6.16259237618463,9,23.11822180235112,1610759394.9789004,off_track
221,1.0,0.6605315673305037,1.5945649398350545,-62.45025124401234,0.0,1.75,2,11.0,False,True,0.6037106710718464,9,23.11822180235112,1610759395.452778,in_progress
221,2.0,0.6619217540249832,1.5897081826837132,-62.74404789661374,0.0,1.75,2,11.0,False,True,0.624616786646634,9,23.11822180235112,1610759395.5972824,in_progress
221,3.0,0.701170164960476,1.4585019723836474,-67.76505438231395,-20.0,3.5,1,31.0,False,True,1.1653077070215088,9,23.11822180235112,1610759395.726216,in_progress
221,4.0,0.7102010107542093,1.4284282700374837,-68.56374961279046,20.0,3.5,5,31.0,False,True,1.290024579654911,10,23.11822180235112,1610759395.7826393,in_progress
