episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status
260,1.0,0.3223125138065078,2.6906928182807137,-84.10008942097966,20.0,1.75,4,31.0,False,True,0.6084252240837249,1,23.11822180235112,1610759719.888294,in_progress
260,2.0,0.3219000348471924,2.6818465213128757,-84.44057052021334,0.0,1.75,2,31.0,False,True,0.6462951857055989,1,23.11822180235112,1610759719.9533577,in_progress
260,3.0,0.3218760185429585,2.656858084870488,-85.05855832274875,0.0,3.5,3,51.0,False,True,0.7530416782309514,1,23.11822180235112,1610759720.0180392,in_progress
260,4.0,0.3189093851480755,2.626342292645199,-86.44451247760082,20.0,1.75,4,31.0,False,True,0.8819117007488861,1,23.11822180235112,1610759720.0975814,in_progress
260,5.0,0.31594116849537374,2.564473394324677,-88.1713103018581,0.0,3.5,3,51.0,False,True,1.1450461425713592,2,23.11822180235112,1610759720.16122,in_progress
260,6.0,0.315825372385582,2.4999598225866264,-88.69099763280174,0.0,3.5,3,51.0,False,True,1.4147337659245405,2,23.11822180235112,1610759720.2290745,in_progress
260,7.0,0.3145391447432538,2.412964560546445,-89.38377283882872,20.0,3.5,5,51.0,False,True,1.7835141282709581,3,23.11822180235112,1610759720.296912,in_progress
260,8.0,0.3158325156358987,2.3094050273454854,-89.36788939462286,20.0,1.75,4,31.0,False,True,2.2124255068942156,3,23.11822180235112,1610759720.3604605,in_progress
260,9.0,0.32593780729619326,2.1990551634801436,-87.55250559142534,0.0,1.75,2,31.0,False,True,2.6738339888176705,4,23.11822180235112,1610759720.4310806,in_progress
260,10.0,0.33792228566440125,2.0925001212066783,-86.04123221244748,-20.0,3.5,1,51.0,False,True,3.1324225872267344,5,23.11822180235112,1610759720.4988384,in_progress
260,11.0,0.35721687396643964,1.9392134226091768,-84.44537873787279,0.0,3.5,3,51.0,False,True,3.765236119581566,6,23.11822180235112,1610759720.5656307,in_progress
260,12.0,0.36915600264568993,1.823638751906221,-84.24722992689516,20.0,3.5,5,51.0,False,True,4.204542821800699,6,23.11822180235112,1610759720.6275845,in_progress
260,13.0,0.3915094805833278,1.6704355624409901,-82.87131684157546,20.0,1.75,4,11.0,False,True,4.77824501525779,7,23.11822180235112,1610759720.6987553,in_progress
260,14.0,0.42549262090698403,1.53091430154449,-79.25332215171608,20.0,1.75,4,11.0,False,True,5.282766178688228,8,23.11822180235112,1610759720.7651172,in_progress
260,15.0,0.4789580913288229,1.376132129725205,-74.65131553031496,20.0,1.75,4,11.0,False,True,5.88187339334598,9,23.11822180235112,1610759720.8365397,in_progress
260,16.0,0.5264387770760718,1.2706663963970395,-70.87747348752904,20.0,3.5,5,31.0,False,True,6.300968767497896,10,23.11822180235112,1610759720.9011986,in_progress
260,17.0,0.5922170420354286,1.148945666063324,-66.35939108847703,-20.0,3.5,1,31.0,False,True,6.629373731461915,10,23.11822180235112,1610759720.9632459,in_progress
260,18.0,0.653629868830511,1.055338015317612,-62.33005304264302,-20.0,3.5,1,31.0,False,True,7.093218808316626,11,23.11822180235112,1610759721.0287523,in_progress
260,19.0,0.7587283556706714,0.911511463606791,-57.24867603666298,-20.0,3.5,1,31.0,False,True,7.482252630118295,11,23.11822180235112,1610759721.0951538,in_progress
260,20.0,0.888107336268664,0.7454259358094231,-53.78241639852345,20.0,1.75,4,-9.0,False,False,7.866537440632486,12,23.11822180235112,1610759721.164145,in_progress
260,21.0,0.9857847078228035,0.629113218759473,-51.66512997999963,-20.0,3.5,1,11.0,False,False,8.422621592736354,13,23.11822180235112,1610759721.2324479,in_progress
260,22.0,1.1106693766558355,0.48759600619941257,-49.50671872403943,-20.0,3.5,1,11.0,True,False,8.546717897291895,13,23.11822180235112,1610759721.301399,off_track
261,1.0,0.6601808529059913,1.5937369766680323,-62.605642775201574,0.0,1.75,2,11.0,False,True,0.6058940809303859,9,23.11822180235112,1610759721.7623706,in_progress
261,2.0,0.6646745491626124,1.586193217652337,-62.49535931593809,0.0,1.75,2,11.0,False,True,0.6438502452198923,9,23.11822180235112,1610759721.8297625,in_progress
261,3.0,0.6724018346188873,1.5633543649153454,-63.4269365663588,20.0,1.75,4,11.0,False,True,0.7449563629838605,9,23.11822180235112,1610759721.897191,in_progress
261,4.0,0.6899027671418402,1.5256804460749187,-63.79382779004309,20.0,3.5,5,31.0,False,True,0.911502105528076,9,23.11822180235112,1610759721.9612663,in_progress
261,5.0,0.7082092170062323,1.4900137039623276,-63.686854634219,20.0,1.75,4,11.0,False,True,1.080554961132725,9,23.11822180235112,1610759722.0299442,in_progress
