episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status
120,1.0,0.32231927179924114,2.6912814076934435,-84.07701852030078,0.0,1.75,2,31.0,False,True,0.6058961978753077,1,23.11822180235112,1610758531.1054935,in_progress
120,2.0,0.32226232014994477,2.684436163669938,-84.288814403143,20.0,1.75,4,31.0,False,True,0.6353183302645666,1,23.11822180235112,1610758531.169668,in_progress
120,3.0,0.322103937412442,2.6662799872319694,-84.76529565603872,0.0,1.75,2,31.0,False,True,0.7128327042141421,1,23.11822180235112,1610758531.2342448,in_progress
120,4.0,0.32154583699984984,2.6325700969749213,-85.62803940300603,20.0,1.75,4,31.0,False,True,0.8568502472074466,1,23.11822180235112,1610758531.30062,in_progress
120,5.0,0.32219824401477454,2.5865605690003823,-86.32193109853506,20.0,3.5,5,51.0,False,True,1.0542777285816085,2,23.11822180235112,1610758531.3734994,in_progress
120,6.0,0.32422304752580783,2.513245613724814,-86.88265592443868,20.0,1.75,4,31.0,False,True,1.3649774424466472,2,23.11822180235112,1610758531.4330437,in_progress
120,7.0,0.3293713615199089,2.454608082726046,-86.65230184546469,0.0,1.75,2,31.0,False,True,1.6183608503022746,2,23.11822180235112,1610758531.500472,in_progress
120,8.0,0.3389773390709319,2.3683835096806614,-85.76067779684575,0.0,3.5,3,51.0,False,True,1.986292457422105,3,23.11822180235112,1610758531.570903,in_progress
120,9.0,0.3476689053121826,2.276194652718883,-85.40843404577974,0.0,3.5,3,51.0,False,True,2.3833265989979093,4,23.11822180235112,1610758531.6382532,in_progress
120,10.0,0.3578334037955553,2.1788617308639306,-84.96388636578374,0.0,1.75,2,31.0,False,True,2.793973787218013,4,23.11822180235112,1610758531.7017996,in_progress
120,11.0,0.37343559681772603,2.0566283731195423,-83.98052374499518,-20.0,3.5,1,51.0,False,True,3.3041084613127136,5,23.11822180235112,1610758531.7711442,in_progress
120,12.0,0.38830300684544267,1.935170815779172,-83.5992830616087,-20.0,3.5,1,51.0,False,True,3.823541915681431,6,23.11822180235112,1610758531.837589,in_progress
120,13.0,0.3943132603312545,1.780451963236141,-85.9726849914044,20.0,3.5,5,51.0,False,True,4.41873068581514,7,23.11822180235112,1610758531.9030137,in_progress
120,14.0,0.3925101262898405,1.6317801352840666,-88.54576834414436,-20.0,3.5,1,31.0,False,True,4.928679002643892,8,23.11822180235112,1610758531.9667196,in_progress
120,15.0,0.3847959541987852,1.467011018797547,-91.1261187019453,20.0,3.5,5,31.0,False,True,5.419270779962343,8,23.11822180235112,1610758532.0393283,in_progress
