episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status
20,1.0,0.32255523573580536,2.6909356957728954,-83.9909272914407,0.0,1.75,2,31.0,False,True,0.6074900140998517,1,23.11822180235112,1610757671.9445288,in_progress
20,2.0,0.3235219247238532,2.6827792927744443,-83.91609464484304,0.0,3.5,3,51.0,False,True,0.6430150487248334,1,23.11822180235112,1610757672.0142686,in_progress
20,3.0,0.3283638259318178,2.657036704687526,-83.40086920663492,0.0,1.75,2,31.0,False,True,0.7562344005894839,1,23.11822180235112,1610757672.0797052,in_progress
20,4.0,0.33181247619118415,2.613292522275214,-83.84500596851807,20.0,3.5,5,51.0,False,True,0.9456665902869569,1,23.11822180235112,1610757672.153557,in_progress
20,5.0,0.33464843264005545,2.5647866895614135,-84.47640666099667,20.0,1.75,4,31.0,False,True,1.1551161453209458,2,23.11822180235112,1610757672.2094378,in_progress
20,6.0,0.34450988196736493,2.50971683528733,-83.78837815298523,20.0,3.5,5,51.0,False,True,1.3962131139151568,2,23.11822180235112,1610757672.284078,in_progress
20,7.0,0.3649432635624953,2.423009817348704,-81.45757320456659,20.0,3.5,5,51.0,False,True,1.7811499182557577,3,23.11822180235112,1610757672.3417413,in_progress
20,8.0,0.38710540716084557,2.3456106391515448,-79.05104479238014,20.0,3.5,5,51.0,False,True,2.129016300100399,3,23.11822180235112,1610757672.4165115,in_progress
20,9.0,0.43042833018358295,2.2338984305553145,-74.51105142271216,20.0,1.75,4,31.0,False,True,2.6454873549306757,4,23.11822180235112,1610757672.4790075,in_progress
20,10.0,0.4815282198283574,2.133547551617396,-69.72635778829542,20.0,1.75,4,31.0,False,True,3.122036059063148,5,23.11822180235112,1610757672.5462935,in_progress
20,11.0,0.5324038999775746,2.049964987493905,-65.70867239928623,20.0,1.75,4,31.0,False,True,3.5446572381616255,5,23.11822180235112,1610757672.611487,in_progress
20,12.0,0.6123025706881645,1.9358900906443903,-60.58259933761122,20.0,1.75,4,31.0,False,True,4.1566847595935545,6,23.11822180235112,1610757672.6800544,in_progress
20,13.0,0.664480796349366,1.871447718111356,-57.49969938235569,20.0,3.5,5,51.0,False,True,4.500435117140741,7,23.11822180235112,1610757672.745844,in_progress
20,14.0,0.7544404548873982,1.7757659626645454,-52.44337076589231,20.0,1.75,4,31.0,False,True,5.09636836563886,8,23.11822180235112,1610757672.815766,in_progress
20,15.0,0.8827072855573588,1.6666223885427938,-45.63208998203936,20.0,1.75,4,31.0,False,True,5.981419802249572,9,23.11822180235112,1610757672.8781695,in_progress
20,16.0,0.9461553083301553,1.6188064334667647,-42.972003340470444,20.0,1.75,4,31.0,False,True,6.316340273548443,10,23.11822180235112,1610757672.9490237,in_progress
20,17.0,1.0593683435013528,1.545003443668165,-38.245129024891874,0.0,1.75,2,31.0,False,True,7.074655745012512,11,23.11822180235112,1610757673.0202723,in_progress
20,18.0,1.164092966430518,1.486109579263785,-34.396272894482756,0.0,1.75,2,31.0,False,True,8.023816351670247,12,23.11822180235112,1610757673.0909793,in_progress
20,19.0,1.2720270777211857,1.435027368919266,-30.4619266024039,0.0,1.75,2,31.0,False,True,8.722774479995925,13,23.11822180235112,1610757673.1508892,in_progress
20,20.0,1.3842814196602478,1.3924142693681176,-26.27220602818271,-20.0,1.75,0,31.0,False,True,9.344571789124567,14,23.11822180235112,1610757673.216467,in_progress
20,21.0,1.50118450880423,1.3546102641240119,-22.597237399336564,-20.0,3.5,1,51.0,False,True,9.898405848667863,15,23.11822180235112,1610757673.2801225,in_progress
20,22.0,1.6238830337336971,1.3176314035092334,-19.928588439025063,-20.0,1.75,0,31.0,False,True,10.414620078423512,16,23.11822180235112,1610757673.351431,in_progress
20,23.0,1.7387377171373366,1.281210954261817,-18.500863470341773,-20.0,1.75,0,31.0,False,True,10.912064985463292,17,23.11822180235112,1610757673.4156275,in_progress
20,24.0,1.8559744906230438,1.2398824906820276,-18.900203835160873,0.0,3.5,3,51.0,False,True,11.390957062819657,17,23.11822180235112,1610757673.4788282,in_progress
20,25.0,1.9619318538736965,1.2014470410482163,-19.339238948224782,20.0,1.75,4,31.0,False,True,11.815716824919214,18,23.11822180235112,1610757673.545786,in_progress
20,26.0,2.086203479458588,1.161802175449027,-18.71484885270131,-20.0,1.75,0,31.0,False,True,12.317720234598413,19,23.11822180235112,1610757673.612882,in_progress
20,27.0,2.205490742238625,1.1267518988599843,-17.67639386895108,20.0,1.75,4,31.0,False,True,12.804253168728366,20,23.11822180235112,1610757673.6835961,in_progress
20,28.0,2.3422303311414847,1.08816328779907,-16.71826107982894,0.0,1.75,2,31.0,False,True,13.368491207218156,20,23.11822180235112,1610757673.750674,in_progress
20,29.0,2.452800034310806,1.0607658798064517,-15.533324776420637,0.0,1.75,2,31.0,False,True,13.900667660181304,21,23.11822180235112,1610757673.818517,in_progress
20,30.0,2.5693304948097957,1.0311593454135908,-14.98398607349419,-20.0,1.75,0,31.0,False,True,14.54146986954233,22,23.11822180235112,1610757673.8863885,in_progress
20,31.0,2.6729151153399204,1.002501140880451,-15.163219523154481,-20.0,1.75,0,31.0,False,True,15.154961860107036,23,23.11822180235112,1610757673.9461973,in_progress
20,32.0,2.77804709451083,0.9683885793809929,-16.297494042099164,-20.0,1.75,0,31.0,False,True,15.887804534968112,24,23.11822180235112,1610757674.0272415,in_progress
20,33.0,2.8927091454552585,0.92319609258749,-18.58501246006816,-20.0,1.75,0,31.0,False,True,16.692968299869495,26,23.11822180235112,1610757674.0886662,in_progress
20,34.0,3.017266817945528,0.8631523109493566,-22.063263716740497,-20.0,1.75,0,31.0,False,True,17.522543269115573,27,23.11822180235112,1610757674.153035,in_progress
20,35.0,3.0916984984932503,0.8209039412110736,-24.59952569462472,-20.0,1.75,0,31.0,False,True,18.073413803592306,28,23.11822180235112,1610757674.219987,in_progress
20,36.0,3.1895527116671785,0.7573006830512435,-28.13311284392822,-20.0,1.75,0,31.0,False,True,18.68076625834511,29,23.11822180235112,1610757674.2853923,in_progress
