episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status
60,1.0,0.32246678579112203,2.690899696808731,-84.04646937589881,0.0,1.75,2,31.0,False,True,0.6076049275525565,1,23.11822180235112,1610758046.111624,in_progress
60,2.0,0.3228924821457808,2.6841021888350185,-84.13112664328511,20.0,3.5,5,51.0,False,True,0.6370397100692028,1,23.11822180235112,1610758046.1810982,in_progress
60,3.0,0.33037723683871284,2.6611816804286974,-82.86662200643161,20.0,3.5,5,51.0,False,True,0.7397123132154768,1,23.11822180235112,1610758046.2483652,in_progress
60,4.0,0.3402553422122621,2.6335906020552753,-81.27481527164288,20.0,3.5,5,51.0,False,True,0.8638930876842921,1,23.11822180235112,1610758046.3062985,in_progress
60,5.0,0.3580239870066433,2.590279642292083,-78.71483397713146,20.0,3.5,5,51.0,False,True,1.0602054223816118,2,23.11822180235112,1610758046.3774514,in_progress
60,6.0,0.3799841584577674,2.548555580919875,-75.53037491336433,20.0,3.5,5,51.0,False,True,1.2522789615055179,2,23.11822180235112,1610758046.4502666,in_progress
60,7.0,0.4313253923173589,2.4712888072497825,-68.86057027555937,20.0,1.75,4,31.0,False,True,1.6290441172153995,2,23.11822180235112,1610758046.5150125,in_progress
60,8.0,0.4782784142726035,2.4157334128903303,-63.471294515434096,20.0,1.75,4,31.0,False,True,1.9027810394608733,3,23.11822180235112,1610758046.5798328,in_progress
60,9.0,0.5565281136815309,2.342746421450813,-55.469198778693546,0.0,1.75,2,31.0,False,True,2.3055962259979252,4,23.11822180235112,1610758046.6472704,in_progress
60,10.0,0.7540649750211437,2.204877244070172,-41.26100229199013,20.0,1.75,4,31.0,False,True,3.1297734522490606,5,23.11822180235112,1610758046.807531,in_progress
60,11.0,0.8671559244786451,2.145668248794108,-35.2016657116433,0.0,1.75,2,31.0,False,True,3.5999105030955465,6,23.11822180235112,1610758046.8549747,in_progress
60,12.0,0.9402460909520859,2.1154663022086178,-31.29136237709219,-20.0,1.75,0,11.0,False,True,3.8221168285586664,6,23.11822180235112,1610758046.9195352,in_progress
60,13.0,1.0400402480310844,2.0746835368282976,-27.786195703866365,-20.0,1.75,0,-9.0,False,False,4.307131086576975,7,23.11822180235112,1610758046.9860878,in_progress
60,14.0,1.1415238789770457,2.033382950613406,-25.565499780354738,-20.0,1.75,0,11.0,False,False,4.8777803445671575,7,23.11822180235112,1610758047.0497317,in_progress
60,15.0,1.2510587328786869,1.9854840954868322,-24.77717020191389,0.0,1.75,2,11.0,False,False,5.57105168934565,9,23.11822180235112,1610758047.119425,in_progress
60,16.0,1.357336527750902,1.9405320402661885,-23.981127283898488,-20.0,1.75,0,11.0,True,False,8.813348276245776,13,23.11822180235112,1610758047.187147,off_track
61,1.0,0.660177277083606,1.593755860451029,-62.65675028719953,0.0,1.75,2,11.0,False,True,0.6058170924180796,9,23.11822180235112,1610758047.590347,in_progress
61,2.0,0.6632824500169693,1.5826626065876201,-63.23466251083901,20.0,1.75,4,11.0,False,True,0.6534037184324368,9,23.11822180235112,1610758047.6454482,in_progress
61,3.0,0.6697725105044228,1.568061577627266,-63.425918744963525,0.0,3.5,3,31.0,False,True,0.7216825429998783,9,23.11822180235112,1610758047.7158985,in_progress
61,4.0,0.686344099986054,1.5338291465146123,-63.372980644604475,-20.0,1.75,0,11.0,False,True,0.8818733933464239,9,23.11822180235112,1610758047.7809534,in_progress
61,5.0,0.7051372747407437,1.487651125352707,-64.28173309317033,-20.0,3.5,1,31.0,False,True,1.0798282514576631,9,23.11822180235112,1610758047.8476377,in_progress
61,6.0,0.7219656550534737,1.4321096656112626,-66.38273144403067,20.0,3.5,5,31.0,False,True,1.3105779069254642,10,23.11822180235112,1610758047.914436,in_progress
61,7.0,0.7440773936392728,1.3560325147927268,-68.63132403922566,0.0,1.75,2,11.0,False,True,1.5561680792533048,10,23.11822180235112,1610758047.9840105,in_progress
61,8.0,0.7624392151228453,1.2860236295587364,-70.60376451019397,20.0,1.75,4,11.0,False,True,1.8117677955257454,10,23.11822180235112,1610758048.0500462,in_progress
61,9.0,0.7894801281959534,1.1905556600211633,-71.93741272560638,0.0,1.75,2,11.0,False,True,2.1669474359208434,11,23.11822180235112,1610758048.1163843,in_progress
61,10.0,0.8194422733382145,1.0857901785968838,-72.74667637649759,20.0,3.5,5,31.0,False,True,2.3454367689339577,11,23.11822180235112,1610758048.1848562,in_progress
61,11.0,0.857978808610737,0.9589926647969004,-72.95067367933846,-20.0,3.5,1,31.0,False,True,2.757659569644033,12,23.11822180235112,1610758048.2491212,in_progress
61,12.0,0.8859397122721987,0.8689574682080013,-72.91046172594507,-20.0,3.5,1,31.0,False,True,2.840224747852639,12,23.11822180235112,1610758048.3179352,in_progress
61,13.0,0.9271805957837757,0.7164646929423475,-74.18277612016063,-20.0,3.5,1,11.0,False,False,3.0657565924635644,12,23.11822180235112,1610758048.3888419,in_progress
61,14.0,0.9586783020163347,0.5731864279562026,-76.04218032413746,-20.0,3.5,1,11.0,False,False,3.38493273338496,13,23.11822180235112,1610758048.4489405,in_progress
61,15.0,0.9811897330253464,0.4343444788953709,-78.55996820023854,-20.0,3.5,1,11.0,True,False,3.492890776608215,13,23.11822180235112,1610758048.5164359,off_track
62,1.0,1.6765020077860688,1.2083848645284725,4.251687746728256,0.0,1.75,2,31.0,False,True,0.6030403492582312,16,23.11822180235112,1610758049.0534346,in_progress
62,2.0,1.6849202814306048,1.2065018154451446,3.6172002211334338,0.0,1.75,2,31.0,False,True,0.6380328926365462,16,23.11822180235112,1610758049.120829,in_progress
62,3.0,1.6982792898159929,1.2052534306908196,3.052049493294463,-20.0,1.75,0,31.0,False,True,0.694572148518223,16,23.11822180235112,1610758049.1972604,in_progress
62,4.0,1.7399659798404306,1.20098245357913,1.5136739654292342,0.0,1.75,2,31.0,False,True,0.8707846993879303,17,23.11822180235112,1610758049.2606616,in_progress
62,5.0,1.789040075181068,1.1939220424290864,-0.42041411523595673,20.0,3.5,5,51.0,False,True,1.0770451197839246,17,23.11822180235112,1610758049.325599,in_progress
62,6.0,1.8431829489893956,1.1852912705947132,-2.4486613567047018,0.0,1.75,2,31.0,False,True,1.298389964717471,17,23.11822180235112,1610758049.39985,in_progress
62,7.0,1.927900726759889,1.1749402444619712,-3.992827893488051,0.0,1.75,2,31.0,False,True,1.6528830809167672,18,23.11822180235112,1610758049.467931,in_progress
62,8.0,1.9989821778191452,1.1644483418825828,-5.233863134261505,0.0,1.75,2,31.0,False,True,1.9474625642996026,18,23.11822180235112,1610758049.5358071,in_progress
62,9.0,2.09601785825291,1.1487559946754757,-6.752580445464174,0.0,1.75,2,31.0,False,True,2.350308772718976,19,23.11822180235112,1610758049.600197,in_progress
62,10.0,2.2011904406784826,1.1280714293748233,-8.445172578370386,-20.0,1.75,0,31.0,False,True,2.786814217306971,20,23.11822180235112,1610758049.668722,in_progress
62,11.0,2.3150868579717923,1.102441136855928,-10.271212887150853,-20.0,1.75,0,31.0,False,True,3.261963585712069,20,23.11822180235112,1610758049.7384174,in_progress
62,12.0,2.420045322238146,1.07092898066024,-12.864862707384015,-20.0,1.75,0,31.0,False,True,3.763365165150903,21,23.11822180235112,1610758049.8017702,in_progress
62,13.0,2.518324892091874,1.0349529197889062,-15.62591031162111,-20.0,1.75,0,31.0,False,True,4.1732662702223084,22,23.11822180235112,1610758049.8760273,in_progress
62,14.0,2.634950798072571,0.9838666892134431,-19.29989480988536,-20.0,1.75,0,31.0,False,True,4.83043693583958,23,23.11822180235112,1610758049.937828,in_progress
62,15.0,2.733673845441091,0.9308534882562927,-22.94269911546333,-20.0,1.75,0,31.0,False,True,5.458165279466309,24,23.11822180235112,1610758050.0095632,in_progress
62,16.0,2.8363324063832587,0.8666778042621714,-26.896440028450264,-20.0,1.75,0,31.0,False,True,6.593851112725707,25,23.11822180235112,1610758050.0749106,in_progress
62,17.0,2.9300683398153313,0.8010553912430998,-30.211891439721047,0.0,1.75,2,31.0,False,True,7.386994461943017,27,23.11822180235112,1610758050.1464026,in_progress
62,18.0,3.016597526248394,0.7339242985986728,-33.26736944753304,0.0,1.75,2,31.0,False,True,8.114064187794682,28,23.11822180235112,1610758050.2108727,in_progress
62,19.0,3.0986977326516763,0.6610683704105378,-36.63773599564156,20.0,1.75,4,31.0,False,True,8.757823698725614,29,23.11822180235112,1610758050.2765017,in_progress
62,20.0,3.1892864871002176,0.577559981022352,-39.25887806140121,20.0,1.75,4,31.0,False,True,9.358470206942485,30,23.11822180235112,1610758050.3412325,in_progress
62,21.0,3.265300600882483,0.5073044034569567,-40.60721342218374,20.0,1.75,4,31.0,False,True,9.698448154027792,30,23.11822180235112,1610758050.409998,in_progress
62,22.0,3.359619341231998,0.4282135253843595,-40.31352320682149,20.0,1.75,4,31.0,False,True,10.222813725192054,31,23.11822180235112,1610758050.4822667,in_progress
62,23.0,3.455365961160978,0.3541562651130971,-39.23633968163725,20.0,1.75,4,31.0,False,True,10.589469671450654,32,23.11822180235112,1610758050.5452983,in_progress
62,24.0,3.5525950577241105,0.2903965736932238,-36.7183760400373,20.0,1.75,4,31.0,False,True,10.942659670522179,32,23.11822180235112,1610758050.6155705,in_progress
62,25.0,3.6540989932615537,0.23216945370169886,-33.866423747524756,20.0,1.75,4,31.0,False,True,11.444039701143724,33,23.11822180235112,1610758050.6789951,in_progress
62,26.0,3.76105104184502,0.18170179595709268,-30.221185245146298,20.0,1.75,4,11.0,False,True,11.819195475526529,33,23.11822180235112,1610758050.7407076,in_progress
62,27.0,3.8571110889034728,0.14482098202108812,-26.704349258884445,20.0,1.75,4,11.0,False,True,12.21319952966778,34,23.11822180235112,1610758050.815699,in_progress
62,28.0,3.9988524040708775,0.10409887178350093,-21.38576428533401,20.0,3.5,5,31.0,False,True,12.77591380473084,35,23.11822180235112,1610758050.874489,in_progress
62,29.0,4.091942326868941,0.08579976546524186,-17.628082858929346,20.0,1.75,4,11.0,False,True,13.084105950383812,35,23.11822180235112,1610758050.9489546,in_progress
62,30.0,4.24427260166849,0.07405463710188423,-10.735400326341829,20.0,1.75,4,11.0,False,True,13.647468516690425,36,23.11822180235112,1610758051.0120049,in_progress
62,31.0,4.355594426430113,0.07515946803355335,-5.974798762768818,0.0,1.75,2,11.0,False,True,14.112996773400694,37,23.11822180235112,1610758051.0742385,in_progress
62,32.0,4.446078900590377,0.08292483026123967,-2.147794311922645,0.0,1.75,2,11.0,False,True,14.433942898048983,37,23.11822180235112,1610758051.1440437,in_progress
62,33.0,4.5742373985282185,0.10207741959605005,2.7643174254061376,0.0,1.75,2,11.0,False,True,14.934195618199405,39,23.11822180235112,1610758051.212631,in_progress
62,34.0,4.709913701378295,0.13426252951576906,7.904676557428526,0.0,1.75,2,11.0,False,True,15.495079956629429,40,23.11822180235112,1610758051.2850916,in_progress
62,35.0,4.822279409074935,0.17227029039848124,12.513316443493459,0.0,1.75,2,11.0,False,True,15.988249445768773,41,23.11822180235112,1610758051.345592,in_progress
62,36.0,4.922008742102644,0.20954172674964702,15.584963229803833,0.0,1.75,2,31.0,False,True,16.43288916358579,41,23.11822180235112,1610758051.4140275,in_progress
62,37.0,5.036003831548305,0.25953541044234907,19.141437888936625,0.0,1.75,2,31.0,False,True,16.96757715675823,42,23.11822180235112,1610758051.4754498,in_progress
62,38.0,5.137675372466396,0.3075596095706356,21.679969751377627,20.0,1.75,4,31.0,False,True,17.475380879542804,43,23.11822180235112,1610758051.5444348,in_progress
