episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status
360,1.0,0.3228955379766213,2.691267033674692,-83.88970142382536,20.0,1.75,4,31.0,False,True,0.6062183285655668,1,23.11822180235112,1610760556.4202173,in_progress
360,2.0,0.3229739898329448,2.6845277204278735,-84.06465801680932,20.0,3.5,5,51.0,False,True,0.6352459132744285,1,23.11822180235112,1610760556.4880311,in_progress
360,3.0,0.32597320086387616,2.6659729737166464,-83.74165511563848,0.0,3.5,3,51.0,False,True,0.7165077428633904,1,23.11822180235112,1610760556.552804,in_progress
360,4.0,0.33239396779409125,2.629451642851981,-83.31179783402172,20.0,3.5,5,51.0,False,True,0.8768220849224483,1,23.11822180235112,1610760556.7262924,in_progress
360,5.0,0.37011480085288756,2.4789526768077015,-79.29008807914069,20.0,1.75,4,31.0,False,True,1.5474800962098163,2,23.11822180235112,1610760556.7583065,in_progress
360,6.0,0.3919326671675596,2.4264352104127056,-76.64059439134189,20.0,1.75,4,31.0,False,True,1.7881879030465058,3,23.11822180235112,1610760556.8227968,in_progress
360,7.0,0.4211192260232657,2.3662836282219546,-73.3738983094572,20.0,1.75,4,31.0,False,True,2.0749023080753197,3,23.11822180235112,1610760556.895073,in_progress
360,8.0,0.4829350109268301,2.2656434325460135,-67.08838563000971,20.0,1.75,4,31.0,False,True,2.559143304423001,4,23.11822180235112,1610760556.9552622,in_progress
360,9.0,0.5471499670154457,2.182105076514919,-61.406449216070015,20.0,3.5,5,51.0,False,True,2.9927947213380315,5,23.11822180235112,1610760557.0229707,in_progress
360,10.0,0.6213433675521775,2.102582775469261,-55.48645260661829,-20.0,1.75,0,31.0,False,True,3.4475148237166917,5,23.11822180235112,1610760557.0884078,in_progress
360,11.0,0.7100809104203922,2.025086763740406,-49.153761211243115,20.0,1.75,4,31.0,False,True,3.9612659926282943,6,23.11822180235112,1610760557.1585476,in_progress
360,12.0,0.8231050873701209,1.938483920072333,-43.42803308834785,0.0,1.75,2,31.0,False,True,4.493984077403926,7,23.11822180235112,1610760557.2244146,in_progress
360,13.0,0.9233948014571671,1.8738714959657807,-38.88862015164179,0.0,1.75,2,31.0,False,True,5.056023462997325,8,23.11822180235112,1610760557.287837,in_progress
360,14.0,1.0189727733597378,1.8213906948667806,-34.84334736302342,0.0,3.5,3,51.0,False,True,5.621866093118223,9,23.11822180235112,1610760557.3571613,in_progress
360,15.0,1.1313293596846532,1.766687461084402,-30.87564500055186,0.0,1.75,2,31.0,False,True,6.342043621237456,10,23.11822180235112,1610760557.4240744,in_progress
360,16.0,1.274042280330141,1.7093296306529975,-26.01540076419527,0.0,3.5,3,31.0,False,False,8.181491259402744,13,23.11822180235112,1610760557.4869165,in_progress
360,17.0,1.391193755599081,1.666478917326164,-23.31160812487374,20.0,1.75,4,11.0,False,False,9.384231910188351,14,23.11822180235112,1610760557.5582497,in_progress
360,18.0,1.512816636298592,1.6332129928460912,-19.639463870237968,-20.0,1.75,0,-9.0,False,False,10.045159929652723,15,23.11822180235112,1610760557.6251621,in_progress
360,19.0,1.6545958530889266,1.6027605943367549,-15.954046942680321,-20.0,1.75,0,11.0,False,False,10.737939836341065,16,23.11822180235112,1610760557.684837,in_progress
360,20.0,1.7793586894380087,1.5784077280814177,-13.727431949707627,-20.0,1.75,0,31.0,False,True,11.29922314916664,17,23.11822180235112,1610760557.7525473,in_progress
360,21.0,1.873145301429167,1.5566792367473927,-13.494449814173688,-20.0,1.75,0,31.0,False,True,11.684523906210636,18,23.11822180235112,1610760557.8194735,in_progress
360,22.0,1.9860882891754619,1.5259030680011163,-14.239109754925689,-20.0,1.75,0,31.0,False,True,12.149719380113774,19,23.11822180235112,1610760557.8887336,in_progress
360,23.0,2.121428381246867,1.4804251866174323,-16.428019536635144,-20.0,1.75,0,31.0,False,True,12.69182543352328,19,23.11822180235112,1610760557.9570782,in_progress
360,24.0,2.236702682151477,1.4314110075267723,-19.396585592069563,-20.0,1.75,0,31.0,False,True,13.145579742939113,20,23.11822180235112,1610760558.0252972,in_progress
360,25.0,2.321301330613453,1.3880162886810643,-22.19641913030835,-20.0,1.75,0,31.0,False,True,13.47833135068843,21,23.11822180235112,1610760558.087422,in_progress
360,26.0,2.4036426052796784,1.3394213301899955,-25.196175272773324,-20.0,1.75,0,31.0,False,True,13.794120622488482,21,23.11822180235112,1610760558.1600392,in_progress
360,27.0,2.5135315688333195,1.2638862216549487,-29.545537615903733,-20.0,1.75,0,31.0,False,True,14.2391020107279,22,23.11822180235112,1610760558.2271714,in_progress
360,28.0,2.5936007242448293,1.2003152872185723,-32.944947337547234,-20.0,1.75,0,31.0,False,True,14.627774678832308,22,23.11822180235112,1610760558.2983184,in_progress
360,29.0,2.6915680441382763,1.1108686950156712,-37.36640454514565,0.0,1.75,2,31.0,False,True,15.169955358212048,23,23.11822180235112,1610760558.3566158,in_progress
360,30.0,2.762554125215258,1.0354826393597658,-40.93037506740255,20.0,1.75,4,31.0,False,True,15.519211246505508,24,23.11822180235112,1610760558.4244668,in_progress
360,31.0,2.844049590486392,0.9426582917212879,-44.356809972516615,-20.0,1.75,0,31.0,False,True,16.19369844557062,25,23.11822180235112,1610760558.494058,in_progress
360,32.0,2.908768384080859,0.8644355467999569,-46.66516132583281,20.0,1.75,4,31.0,False,True,17.146939001939447,26,23.11822180235112,1610760558.5593736,in_progress
